measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",65.361,0,84.435,0.912,82.983,85.887,false,19.074,0.226,363.817
"true","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.588,0,13.5,0.307,13.011,13.989,true,0.088,0.007,0.008
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.953,0,29.399,0.723,28.249,30.549,true,0.554,0.019,0.307
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",1.534,0,1.534,0.002,1.531,1.538,true,0,0,0
"true","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.554,0,1.535,0.003,1.529,1.54,false,0.019,0.012,0
"true","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.535,0,1.533,0.005,1.526,1.541,true,0.002,0.001,0
"true","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.566,0,1.571,0.004,1.564,1.578,true,0.005,0.003,0
"true","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.541,0,1.539,0.01,1.522,1.555,true,0.002,0.001,0
"true","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",102.46,0,102.374,1.306,100.295,104.453,true,0.086,0.001,0.007
"true","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.537,0,1.533,0.004,1.527,1.54,true,0.004,0.003,0
"true","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",16.567,0,17.15,0.445,16.443,17.857,true,0.583,0.034,0.34
"true","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",50.913,0,50.509,0.391,49.887,51.131,true,0.404,0.008,0.163
"true","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.509,0,17.251,0.164,16.99,17.512,true,0.258,0.015,0.067
"true","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.541,0,1.536,0.006,1.526,1.546,true,0.005,0.003,0
"true","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.217,0,13.441,0.317,12.937,13.945,true,0.224,0.017,0.05
"true","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.539,0,1.538,0.009,1.523,1.552,true,0.001,0.001,0
"true","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.531,0,1.537,0.003,1.533,1.541,false,0.006,0.004,0
"true","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",29.268,0,29.76,0.897,28.333,31.187,true,0.492,0.017,0.242
"true","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",102.428,0,102.961,1.45,100.654,105.269,true,0.533,0.005,0.284
"true","[IGNORELEADINGBLANKS, MONTHSORT, REVERSE]",42.528,0,40.667,0.754,39.467,41.868,false,1.861,0.046,3.463
"true","[DICTIONARYORDER, CHECK, IGNORECASE]",1.559,0,1.567,0.007,1.555,1.578,true,0.008,0.005,0
"true","[MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",283.431,0,288.458,2.75,284.082,292.834,false,5.027,0.017,25.271
"true","[HUMANNUMERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.531,0,1.537,0.005,1.529,1.544,true,0.006,0.004,0
"true","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, GENERALNUMRICSORT]",1.546,0,1.536,0.011,1.518,1.554,true,0.01,0.007,0
"true","[MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",16.903,0,17.757,0.524,16.924,18.591,false,0.854,0.048,0.729
"true","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.504,0,17.117,0.206,16.789,17.445,false,0.387,0.023,0.15
"true","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE]",5.135,0,4.937,0.128,4.734,5.14,true,0.198,0.04,0.039
"true","[MONTHSORT, MERGE, CHECK]",138.703,0,139.239,1.054,137.562,140.917,true,0.536,0.004,0.287
"true","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.838,0,17.348,0.105,17.18,17.516,false,0.49,0.028,0.24
"true","[MERGE, NUMBERICSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.792,0,13.443,0.194,13.135,13.751,false,0.349,0.026,0.122
"true","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE]",1.572,0,1.567,0.012,1.548,1.586,true,0.005,0.003,0
"true","[HUMANNUMERICSORT, MERGE]",140.791,0,146.577,8.578,132.927,160.227,true,5.786,0.039,33.478
"true","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",13.388,0,13.508,0.219,13.16,13.857,true,0.12,0.009,0.014
"true","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.535,0,1.538,0.006,1.528,1.548,true,0.003,0.002,0
"true","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",3.415,0,3.54,0.066,3.434,3.645,false,0.125,0.035,0.016
"true","[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",29.895,0,30.466,0.474,29.712,31.22,true,0.571,0.019,0.326
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",5.152,0,4.943,0.108,4.771,5.114,false,0.209,0.042,0.044
"true","[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE]",16.933,0,17.165,0.546,16.296,18.034,true,0.232,0.014,0.054
"true","[MONTHSORT, VERSIONSORT, DICTIONARYORDER, CHECK, REVERSE]",1.573,0,1.568,0.006,1.557,1.578,true,0.005,0.003,0
"true","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",13.366,0,13.489,0.062,13.39,13.588,false,0.123,0.009,0.015
